Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
105.4852244,-1.200204163,9.684860229,0.4977149963,-0.03488766402,-0.1260708272,-0.002757085953,5
105.5052654,-1.294358368,9.743388519,0.4531077576,-0.001596019836,-0.1166774929,-0.000197947491,5
105.5253074,-1.212628326,9.619595947,0.3969744873,0.001443978399,0.003386563156,-0.01013201661,5
105.5453484,-1.122964783,9.627230072,0.5284011841,-0.006565610878,0.0248443,-0.006065743044,5
105.5653894,-1.138682098,9.695188751,0.5421725464,-3.647222184e-05,-0.009833661839,-0.003664390184,5
105.5854314,-1.159488831,9.762997742,0.4905299377,-0.01039270684,-0.06332425773,-0.002990005538,5
105.6054724,-1.245410156,9.742041321,0.3173400879,-0.00165121397,-0.0491191633,0.01243497059,5
105.6255135,-1.346150665,9.7011763,0.357456665,0.01477642916,-0.01675990596,0.01809104532,5
105.6455545,-1.248553619,9.621392212,0.4358935547,0.02822312899,0.03205472976,0.01316765882,5
105.6655955,-1.274749146,9.616302795,0.4486170959,0.01229649223,0.02298149094,0.003243761603,5
105.6856375,-1.340462494,9.716893616,0.5215155029,-0.03244328126,-0.0175697729,-0.00414075749,5
105.7056785,-1.312620392,9.726324005,0.523611145,-0.01494677924,-0.06232820824,0.0005394821055,5
105.7257205,-1.274300079,9.676777039,0.3854484558,0.01328865439,-0.09632650763,0.01346192323,5
105.7457615,-1.24376358,9.656419373,0.2558180237,0.006909317803,-0.07202396542,0.01270208322,5
105.7658025,-1.267264709,9.64624054,0.3823049927,0.01536771748,-0.02100746334,0.0169213172,5
105.7858445,-1.355581055,9.692344666,0.4288581848,0.02002771571,0.005325773265,0.00824730657,5
105.8058855,-1.2461586,9.797575836,0.500559082,-0.000132346293,-0.006195817608,-0.000743110897,5
105.8259275,-1.142873383,9.732461243,0.4098477173,-0.01644893363,-0.05543230101,0.0007784203626,5
105.8459685,-1.198407898,9.634265442,0.3860472107,-0.01437406708,-0.1137962416,0.008209649473,5
105.8660095,-1.292262726,9.66495163,0.3287164307,0.0171180144,-0.06912126392,0.009176804684,5
105.8860515,-1.115779724,9.637408905,0.3686833191,0.02637835778,0.05086010695,-0.003535687458,5
105.9060925,-1.016386414,9.722581787,0.4038601685,0.006092992611,0.09764800966,0.007298898883,5
105.9261345,-1.239721985,9.832602997,0.5548960876,-0.0109217437,0.03973396495,0.01890416071,5
105.9461755,-1.269060974,9.783654785,0.4905299377,-0.01544685476,-0.01927773654,0.02310077101,5
105.9662165,-1.206491089,9.649384003,0.4005670166,-0.02702594548,-0.06300576776,0.01206670608,5
105.9862585,-1.121916962,9.634714508,0.3475772095,-0.03508587182,0.01883469149,0.007256288081,5
106.0062995,-1.151255951,9.651629333,0.4324507141,-0.03872334957,0.09568087012,0.004722025245,5
106.0263415,-1.268312531,9.834998016,0.4972659302,-0.01627549715,0.0693096742,0.01093480363,5
